Feature_Name,AI_Attention_Weight,Data_Discrimination,Final_Score
学科竞赛_vector_composite.csv,0.029376756,0.8090634545275684,0.7766316250514528
Scholarship_vector.csv,0.045318432,0.46519907352483686,0.7142416775574254
线上学习_vector_composite.csv,0.040445082,0.5016541915357768,0.6908800892972411
Evaluation_vector.csv,0.043349598,0.45531068972810096,0.6895907838039079
成绩_vector_variable.csv,0.042576373,0.3593692795410796,0.6230179209718374
run_vector_data.xlsx,0.04401412,0.27019486611534954,0.5814470763969508
四六级_特征向量_vector.xlsx,0.04255216,0.28701614552443205,0.5780757866286631
学生签到_特征向量.csv,0.05112048,0.1341102471219536,0.564265331954395
图书馆_特征轨迹_vector.xlsx,0.053097248,0.09205693959533344,0.5568910504362651
基本信息_vector_variable.csv,0.031239884,0.41543711961185537,0.5509156285749599
选课_vector_variable.csv,0.042727206,0.20166525145025216,0.5269774151033239
Portrait_vector.csv,0.042546343,0.20407717742197035,0.5267648520331476
体测数据_特征轨迹_vector.xlsx,0.042673532,0.20065330970552783,0.5258466055333578
atten_vector_data.xlsx,0.043007832,0.1864925010196964,0.5202432444549339
Graduate_vector.csv,0.041775707,0.2025419674532012,0.5185592589692307
体能_vector_variable.csv,0.043478373,0.13804122441991432,0.49473136412686436
日常锻炼_vector.xlsx,0.04219583,0.12548899922280254,0.47489680579352245
student_behavior_vector.xlsx,0.046026554,0.050928973928568995,0.4648915391108136
Tags_vector.csv,0.0445202,0.07134782178297573,0.463325496974848
讨论记录_特征向量_vector.xlsx,0.0424914,0.09202894243883074,0.4570018302032251
体育课_特征向量_vector.xlsx,0.042622067,0.0689477146034235,0.4439681158941898
dorm_vector_data.xlsx,0.04279296,0.030514128212021326,0.4218254625770862
学籍异动_vector_composite.csv,0.039473604,0.05101184107169776,0.4032356921647203
社团活动_特征向量_vector.xlsx,0.013712722,0.13368963266845044,0.2117483606248648
作业提交_vector_composite.csv,0.006865581,0.04984346475045461,0.09545419238855996
