学号,风险分,行为偏移量,画像分类,归因结论
pjxyqxbj145,1.0,0.12,稳健,行为轨迹发生显著漂移
pjxyqxbj146,0.859,-0.028,稳健,综合偏差
pjxyqxbj148,0.822,0.082,规范,综合偏差
pjxyqxbj150,1.0,0.122,稳健,行为轨迹发生显著漂移
pjxyqxbj151,0.862,0.004,稳健,综合偏差
pjxyqxbj152,1.0,0.129,稳健,行为轨迹发生显著漂移
pjxyqxbj153,0.867,0.009,稳健,综合偏差
pjxyqxbj154,0.85,-0.128,稳健,综合偏差
pjxyqxbj159,0.925,0.036,稳健,综合偏差
pjxyqxbj160,0.843,0.003,稳健,综合偏差
pjxyqxbj162,1.0,0.144,自律,行为轨迹发生显著漂移
pjxyqxbj164,0.85,-0.128,稳健,综合偏差
pjxyqxbj167,0.848,-0.074,稳健,综合偏差
pjxyqxbj169,1.0,0.116,自律,行为轨迹发生显著漂移
pjxyqxbj188,0.897,0.09,规范,综合偏差
pjxyqxbj195,0.941,0.047,稳健,综合偏差
pjxyqxbj198,0.851,-0.12,稳健,综合偏差
pjxyqxbj214,0.969,0.067,稳健,综合偏差
pjxyqxbj220,1.0,0.111,稳健,行为轨迹发生显著漂移
pjxyqxbj223,0.845,-0.113,稳健,综合偏差
pjxyqxbj225,0.843,0.08,规范,综合偏差
pjxyqxbj228,1.0,0.086,稳健,综合偏差
pjxyqxbj237,1.0,0.118,稳健,行为轨迹发生显著漂移
pjxyqxbj238,0.851,-0.057,稳健,综合偏差
pjxyqxbj239,0.851,-0.093,稳健,综合偏差
pjxyqxbj240,1.0,0.119,稳健,行为轨迹发生显著漂移
pjxyqxbj241,0.851,-0.075,稳健,综合偏差
pjxyqxbj242,0.967,0.061,稳健,综合偏差
pjxyqxbj271,1.0,0.073,稳健,综合偏差
pjxyqxbj277,0.843,-0.084,稳健,综合偏差
pjxyqxbj279,0.872,0.014,稳健,综合偏差
pjxyqxbj283,0.843,-0.094,稳健,综合偏差
pjxyqxbj285,0.86,-0.054,稳健,综合偏差
pjxyqxbj290,1.0,0.121,稳健,行为轨迹发生显著漂移
pjxyqxbj312,0.997,0.069,稳健,综合偏差
pjxyqxbj325,0.844,-0.13,稳健,综合偏差
pjxyqxbj330,1.0,0.092,稳健,综合偏差
pjxyqxbj332,1.0,0.091,稳健,综合偏差
pjxyqxbj333,0.999,0.072,稳健,综合偏差
pjxyqxbj334,0.886,0.102,规范,行为轨迹发生显著漂移
pjxyqxbj337,0.932,0.045,稳健,综合偏差
pjxyqxbj348,0.85,-0.048,稳健,综合偏差
pjxyqxbj352,0.843,-0.035,稳健,综合偏差
pjxyqxbj359,1.0,0.111,稳健,行为轨迹发生显著漂移
pjxyqxbj361,0.897,0.021,稳健,综合偏差
pjxyqxbj365,0.843,-0.02,稳健,综合偏差
pjxyqxbj370,0.846,0.05,规范,综合偏差
pjxyqxbj371,0.96,0.058,稳健,综合偏差
pjxyqxbj374,0.85,-0.141,稳健,综合偏差
pjxyqxbj391,1.0,0.118,稳健,行为轨迹发生显著漂移
pjxyqxbj399,0.973,0.067,自律,综合偏差
pjxyqxbj428,0.859,-0.056,稳健,综合偏差
pjxyqxbj432,0.838,-0.135,稳健,综合偏差
pjxyqxbj440,0.851,-0.046,稳健,综合偏差
pjxyqxbj448,0.851,-0.034,稳健,综合偏差
pjxyqxbj451,0.917,0.096,规范,综合偏差
pjxyqxbj454,1.0,0.113,稳健,行为轨迹发生显著漂移
pjxyqxbj455,0.851,-0.041,稳健,综合偏差
pjxyqxbj460,0.854,-0.105,稳健,综合偏差
pjxyqxbj470,1.0,0.13,稳健,行为轨迹发生显著漂移
pjxyqxbj474,0.858,-0.055,稳健,综合偏差
pjxyqxbj476,0.895,0.017,稳健,综合偏差
pjxyqxbj483,0.845,-0.114,稳健,综合偏差
pjxyqxbj484,1.0,0.085,稳健,综合偏差
pjxyqxbj490,0.852,-0.01,稳健,综合偏差
pjxyqxbj491,1.0,0.113,稳健,行为轨迹发生显著漂移
pjxyqxbj512,0.86,-0.052,稳健,综合偏差
pjxyqxbj520,0.85,-0.027,稳健,综合偏差
pjxyqxbj521,0.97,0.063,稳健,综合偏差
pjxyqxbj522,1.0,0.139,稳健,行为轨迹发生显著漂移
pjxyqxbj533,0.854,0.005,稳健,综合偏差
pjxyqxbj541,0.844,-0.036,稳健,综合偏差
pjxyqxbj544,0.85,-0.055,稳健,综合偏差
pjxyqxbj545,0.802,0.067,规范,综合偏差
pjxyqxbj557,0.879,0.102,规范,行为轨迹发生显著漂移
pjxyqxbj570,0.85,-0.008,稳健,综合偏差
pjxyqxbj571,0.865,0.01,稳健,综合偏差
pjxyqxbj577,1.0,0.11,稳健,行为轨迹发生显著漂移
pjxyqxbj578,0.85,-0.021,稳健,综合偏差
pjxyqxbj584,0.906,0.092,规范,综合偏差
pjxyqxbj585,0.924,0.034,自律,综合偏差
pjxyqxbj608,0.879,0.106,规范,行为轨迹发生显著漂移
pjxyqxbj625,0.902,0.029,稳健,综合偏差
pjxyqxbj628,0.818,0.073,规范,综合偏差
pjxyqxbj629,0.883,0.108,规范,行为轨迹发生显著漂移
pjxyqxbj635,0.897,0.109,规范,行为轨迹发生显著漂移
pjxyqxbj636,0.894,-0.129,自律,综合偏差
pjxyqxbj648,0.846,-0.101,稳健,综合偏差
pjxyqxbj653,1.0,0.113,稳健,行为轨迹发生显著漂移
pjxyqxbj657,0.953,0.051,稳健,综合偏差
pjxyqxbj658,0.83,0.082,规范,综合偏差
pjxyqxbj662,0.851,-0.082,稳健,综合偏差
pjxyqxbj663,0.858,-0.031,稳健,综合偏差
pjxyqxbj676,1.0,0.079,稳健,综合偏差
pjxyqxbj679,0.851,-0.125,稳健,综合偏差
pjxyqxbj681,0.836,0.085,规范,综合偏差
pjxyqxbj683,0.868,-0.114,自律,综合偏差
pjxyqxbj701,0.991,0.122,规范,行为轨迹发生显著漂移
pjxyqxbj703,0.831,0.077,规范,综合偏差
pjxyqxbj709,0.829,-0.019,规范,综合偏差
pjxyqxbj710,1.0,0.11,自律,行为轨迹发生显著漂移
pjxyqxbj717,0.931,0.043,稳健,综合偏差
pjxyqxbj724,0.829,-0.034,稳健,综合偏差
pjxyqxbj728,0.876,0.013,稳健,综合偏差
pjxyqxbj733,0.851,-0.022,稳健,综合偏差
pjxyqxbj734,0.85,-0.038,稳健,综合偏差
pjxyqxbj739,0.86,0.094,规范,综合偏差
pjxyqxbj749,0.984,0.118,规范,行为轨迹发生显著漂移
pjxyqxbj750,1.0,0.138,稳健,行为轨迹发生显著漂移
pjxyqxbj753,0.802,-0.08,规范,综合偏差
pjxyqxbj754,1.0,0.119,自律,行为轨迹发生显著漂移
pjxyqxbj770,1.0,0.117,稳健,行为轨迹发生显著漂移
pjxyqxbj777,0.854,0.048,规范,综合偏差
pjxyqxbj781,0.889,0.111,规范,行为轨迹发生显著漂移
pjxyqxbj800,1.0,0.106,稳健,行为轨迹发生显著漂移
pjxyqxbj813,0.865,0.013,稳健,综合偏差
pjxyqxbj817,0.856,0.003,稳健,综合偏差
pjxyqxbj828,0.879,0.066,规范,综合偏差
pjxyqxbj840,0.987,0.069,自律,综合偏差
pjxyqxbj841,0.991,0.069,稳健,综合偏差
pjxyqxbj846,0.845,-0.122,稳健,综合偏差
pjxyqxbj848,0.992,0.074,稳健,综合偏差
pjxyqxbj851,0.858,-0.082,稳健,综合偏差
pjxyqxbj854,0.845,-0.009,稳健,综合偏差
pjxyqxbj858,0.85,-0.088,稳健,综合偏差
pjxyqxbj861,0.844,-0.084,稳健,综合偏差
pjxyqxbj864,0.84,-0.094,稳健,综合偏差
pjxyqxbj866,0.852,-0.091,稳健,综合偏差
pjxyqxbj867,0.842,0.002,稳健,综合偏差
pjxyqxbj868,0.851,-0.077,稳健,综合偏差
pjxyqxbj869,0.849,-0.119,稳健,综合偏差
pjxyqxbj872,0.965,0.06,稳健,综合偏差
pjxyqxbj884,0.849,-0.136,稳健,综合偏差
pjxyqxbj888,0.869,0.004,稳健,综合偏差
pjxyqxbj893,0.848,-0.048,稳健,综合偏差
pjxyqxbj895,0.977,0.062,稳健,综合偏差
pjxyqxbj896,0.844,-0.111,稳健,综合偏差
pjxyqxbj897,0.85,-0.032,稳健,综合偏差
pjxyqxbj903,0.844,-0.001,稳健,综合偏差
pjxyqxbj907,0.844,-0.102,稳健,综合偏差
pjxyqxbj911,0.983,0.116,规范,行为轨迹发生显著漂移
pjxyqxbj914,0.844,-0.102,稳健,综合偏差
pjxyqxbj919,0.838,-0.046,稳健,综合偏差
pjxyqxbj922,0.845,-0.092,稳健,综合偏差
pjxyqxbj927,1.0,0.117,稳健,行为轨迹发生显著漂移
pjxyqxbj929,0.863,0.095,规范,综合偏差
pjxyqxbj935,0.851,-0.056,稳健,综合偏差
pjxyqxbj945,0.847,0.085,规范,综合偏差
pjxyqxbj948,0.952,0.051,稳健,综合偏差
pjxyqxbj949,0.855,0.094,规范,综合偏差
pjxyqxbj952,0.838,-0.111,稳健,综合偏差
pjxyqxbj955,0.845,-0.092,稳健,综合偏差
pjxyqxbj973,0.845,-0.097,稳健,综合偏差
pjxyqxbj978,0.947,0.048,稳健,综合偏差
pjxyqxbj981,0.846,-0.075,稳健,综合偏差
pjxyqxbj984,0.883,0.095,规范,综合偏差
pjxyqxbj985,0.868,0.011,稳健,综合偏差
pjxyqxbk019,1.0,0.134,稳健,行为轨迹发生显著漂移
pjxyqxbk024,0.851,-0.076,稳健,综合偏差
pjxyqxbk046,0.867,-0.102,稳健,综合偏差
pjxyqxbk076,0.958,0.055,稳健,综合偏差
pjxyqxbk090,0.849,-0.054,稳健,综合偏差
pjxyqxbk095,0.85,-0.004,稳健,综合偏差
pjxyqxbk125,1.0,0.122,自律,行为轨迹发生显著漂移
pjxyqxbk137,0.953,0.051,稳健,综合偏差
pjxyqxbk147,0.909,0.029,稳健,综合偏差
pjxyqxbk162,1.0,0.105,稳健,行为轨迹发生显著漂移
pjxyqxbk165,0.911,0.031,稳健,综合偏差
pjxyqxbk180,0.862,-0.067,稳健,综合偏差
pjxyqxbk182,0.851,-0.002,稳健,综合偏差
pjxyqxbk183,0.851,-0.011,稳健,综合偏差
pjxyqxbk211,0.861,-0.143,稳健,综合偏差
pjxyqxbk218,1.0,0.137,稳健,行为轨迹发生显著漂移
pjxyqxbk236,0.849,-0.028,稳健,综合偏差
pjxyqxbk242,0.859,-0.14,稳健,综合偏差
pjxyqxbk243,0.859,-0.012,稳健,综合偏差
pjxyqxbk263,0.85,-0.118,稳健,综合偏差
pjxyqxbk264,0.85,-0.015,稳健,综合偏差
pjxyqxbk281,1.0,0.141,稳健,行为轨迹发生显著漂移
pjxyqxbk286,1.0,0.116,稳健,行为轨迹发生显著漂移
pjxyqxbk305,0.899,0.024,稳健,综合偏差
pjxyqxbk307,0.851,-0.008,稳健,综合偏差
pjxyqxbk319,0.85,-0.108,稳健,综合偏差
pjxyqxbk325,0.869,0.005,稳健,综合偏差
pjxyqxbk328,0.852,-0.133,稳健,综合偏差
pjxyqxbk335,0.85,-0.044,稳健,综合偏差
pjxyqxbk336,0.851,-0.099,稳健,综合偏差
pjxyqxbk339,0.925,0.037,稳健,综合偏差
pjxyqxbk358,0.864,0.006,稳健,综合偏差
pjxyqxbk368,1.0,0.104,稳健,行为轨迹发生显著漂移
pjxyqxbk373,1.0,0.105,自律,行为轨迹发生显著漂移
pjxyqxbk375,0.851,-0.035,稳健,综合偏差
pjxyqxbk382,0.842,-0.05,稳健,综合偏差
pjxyqxbk398,0.85,-0.141,稳健,综合偏差
pjxyqxbk401,0.85,-0.029,自律,综合偏差
pjxyqxbk402,0.851,-0.097,稳健,综合偏差
pjxyqxbk415,1.0,0.084,稳健,综合偏差
pjxyqxbk428,1.0,0.136,稳健,行为轨迹发生显著漂移
pjxyqxbk429,1.0,0.13,稳健,行为轨迹发生显著漂移
pjxyqxbk444,0.852,-0.049,稳健,综合偏差
pjxyqxbk445,0.848,-0.012,稳健,综合偏差
pjxyqxbk452,0.91,0.03,稳健,综合偏差
pjxyqxbk474,1.0,0.139,稳健,行为轨迹发生显著漂移
pjxyqxbk479,0.851,-0.078,稳健,综合偏差
pjxyqxbk481,1.0,0.133,稳健,行为轨迹发生显著漂移
pjxyqxbk484,1.0,0.126,稳健,行为轨迹发生显著漂移
pjxyqxbk501,0.928,0.03,稳健,综合偏差
pjxyqxbk503,1.0,0.123,稳健,行为轨迹发生显著漂移
pjxyqxbk505,0.85,-0.065,稳健,综合偏差
pjxyqxbk513,0.88,0.015,稳健,综合偏差
pjxyqxbk521,0.85,-0.047,稳健,综合偏差
pjxyqxbk527,0.849,-0.135,稳健,综合偏差
pjxyqxbk528,0.858,-0.001,稳健,综合偏差
pjxyqxbk533,1.0,0.131,稳健,行为轨迹发生显著漂移
pjxyqxbk534,0.979,0.065,稳健,综合偏差
pjxyqxbk543,0.85,-0.102,稳健,综合偏差
pjxyqxbk547,0.844,-0.04,稳健,综合偏差
pjxyqxbk551,0.85,-0.108,稳健,综合偏差
pjxyqxbk553,0.991,0.066,稳健,综合偏差
pjxyqxbk562,0.85,-0.035,稳健,综合偏差
pjxyqxbk578,0.857,-0.03,稳健,综合偏差
pjxyqxbk579,1.0,0.094,自律,综合偏差
pjxyqxbk603,0.945,0.039,稳健,综合偏差
pjxyqxbk604,0.848,-0.038,稳健,综合偏差
pjxyqxbk610,0.85,-0.027,稳健,综合偏差
pjxyqxbk615,1.0,0.102,稳健,行为轨迹发生显著漂移
pjxyqxbk625,0.849,-0.042,稳健,综合偏差
pjxyqxbk629,0.842,-0.128,稳健,综合偏差
pjxyqxbk642,0.858,-0.137,稳健,综合偏差
pjxyqxbk649,0.849,-0.129,稳健,综合偏差
pjxyqxbk655,0.849,-0.013,稳健,综合偏差
pjxyqxbk665,0.859,-0.07,稳健,综合偏差
pjxyqxbk674,0.838,-0.136,稳健,综合偏差
pjxyqxbk676,0.87,0.006,稳健,综合偏差
pjxyqxbk677,0.849,-0.004,稳健,综合偏差
pjxyqxbk681,1.0,0.125,稳健,行为轨迹发生显著漂移
pjxyqxbk682,0.977,0.058,稳健,综合偏差
pjxyqxbk683,0.899,0.025,稳健,综合偏差
pjxyqxbk686,1.0,0.102,稳健,行为轨迹发生显著漂移
pjxyqxbk710,0.876,-0.088,稳健,综合偏差
pjxyqxbk715,0.85,-0.076,稳健,综合偏差
pjxyqxbk723,0.944,0.041,自律,综合偏差
pjxyqxbk731,0.85,-0.068,稳健,综合偏差
pjxyqxbk791,0.949,0.045,稳健,综合偏差
pjxyqxbk794,0.859,-0.11,稳健,综合偏差
pjxyqxbk795,1.0,0.11,稳健,行为轨迹发生显著漂移
pjxyqxbk797,0.889,0.019,稳健,综合偏差
pjxyqxbk798,0.912,0.027,稳健,综合偏差
pjxyqxbk799,0.848,-0.067,稳健,综合偏差
pjxyqxbk803,0.934,0.037,稳健,综合偏差
pjxyqxbk816,0.858,-0.108,稳健,综合偏差
pjxyqxbk825,1.0,0.126,稳健,行为轨迹发生显著漂移
pjxyqxbk827,0.875,0.008,稳健,综合偏差
pjxyqxbk836,0.953,0.052,稳健,综合偏差
pjxyqxbk841,0.935,0.043,稳健,综合偏差
pjxyqxbk844,1.0,0.14,稳健,行为轨迹发生显著漂移
pjxyqxbk848,0.85,-0.066,稳健,综合偏差
pjxyqxbk852,0.951,0.055,稳健,综合偏差
pjxyqxbk863,0.86,-0.142,稳健,综合偏差
pjxyqxbk865,0.959,0.056,稳健,综合偏差
pjxyqxbk867,0.851,-0.024,稳健,综合偏差
pjxyqxbk869,0.861,-0.029,稳健,综合偏差
pjxyqxbk880,0.834,-0.026,稳健,综合偏差
pjxyqxbk894,0.913,-0.119,自律,综合偏差
pjxyqxbk902,0.851,-0.008,稳健,综合偏差
pjxyqxbk905,0.959,0.059,稳健,综合偏差
pjxyqxbk907,0.916,0.033,稳健,综合偏差
pjxyqxbk908,0.848,-0.031,稳健,综合偏差
pjxyqxbk911,1.0,0.138,稳健,行为轨迹发生显著漂移
pjxyqxbk916,0.853,-0.025,自律,综合偏差
pjxyqxbk918,0.906,-0.088,自律,综合偏差
pjxyqxbk929,0.975,0.065,稳健,综合偏差
pjxyqxbk935,1.0,0.085,稳健,综合偏差
pjxyqxbk936,0.984,0.062,稳健,综合偏差
pjxyqxbk941,0.876,-0.133,稳健,综合偏差
pjxyqxbk947,1.0,0.13,稳健,行为轨迹发生显著漂移
pjxyqxbk951,0.934,0.038,稳健,综合偏差
pjxyqxbk954,0.983,0.066,稳健,综合偏差
pjxyqxbk957,0.912,0.027,稳健,综合偏差
pjxyqxbk961,0.852,-0.128,稳健,综合偏差
pjxyqxbk965,0.859,-0.056,稳健,综合偏差
pjxyqxbk980,1.0,0.122,稳健,行为轨迹发生显著漂移
pjxyqxbk991,1.0,0.119,稳健,行为轨迹发生显著漂移
pjxyqxbl687,0.854,-0.065,稳健,综合偏差
pjxyqxbl688,0.964,0.034,自律,综合偏差
pjxyqxbl704,0.996,0.073,稳健,综合偏差
pjxyqxbl712,0.911,-0.073,自律,综合偏差
pjxyqxbl717,1.0,0.137,稳健,行为轨迹发生显著漂移
pjxyqxbl723,0.927,0.013,自律,综合偏差
pjxyqxbl724,0.852,-0.084,稳健,综合偏差
pjxyqxbl730,0.985,0.07,稳健,综合偏差
pjxyqxbl737,0.968,0.062,稳健,综合偏差
pjxyqxbl743,1.0,0.122,稳健,行为轨迹发生显著漂移
pjxyqxbl750,0.844,-0.128,稳健,综合偏差
pjxyqxbl751,1.0,0.072,稳健,综合偏差
pjxyqxbl752,0.873,0.069,规范,综合偏差
pjxyqxbl753,0.843,-0.028,稳健,综合偏差
pjxyqxbl755,1.0,0.111,规范,行为轨迹发生显著漂移
pjxyqxbl769,0.834,0.085,规范,综合偏差
pjxyqxbl797,0.95,0.05,稳健,综合偏差
pjxyqxbl804,0.801,0.071,规范,综合偏差
pjxyqxbl808,1.0,0.087,稳健,综合偏差
pjxyqxbl828,0.823,0.082,规范,综合偏差
pjxyqxbl874,0.86,0.097,规范,综合偏差
pjxyqxbl878,0.829,0.083,规范,综合偏差
pjxyqxbl879,0.88,0.111,规范,行为轨迹发生显著漂移
pjxyqxbl918,0.878,0.111,规范,行为轨迹发生显著漂移
pjxyqxbl927,0.846,-0.013,稳健,综合偏差
pjxyqxbl943,0.887,0.094,规范,综合偏差
pjxyqxbl945,0.88,0.068,规范,综合偏差
pjxyqxbl950,0.995,0.08,稳健,综合偏差
pjxyqxbl955,0.804,0.029,规范,综合偏差
pjxyqxbl965,0.804,0.066,规范,综合偏差
